10001;"Nguyễn Văn A";"Công nghệ thông tin";"nva@gmail.com";"1994-01-20";"../src/assets/images/10001.png";"Dễ thương và hòa đồng";"Âm nhạc: Kpop, Vpop";"Điện ảnh: Harry Potter"
10002;"Phạm Thị B";"Kinh tế quốc tế";"ptb@gmail.com";"1992-05-10";"../src/assets/images/10002.png";"Thân thiện và sáng tạo";"Thể thao: Bóng đá";"Đọc sách: Tiểu thuyết"
10003;"Lê Văn C";"Quản trị kinh doanh";"lvc@gmail.com";"1990-03-18";"../src/assets/images/10003.png";"Hài hước và nhiệt tình";"Âm nhạc: Rock";"Điện ảnh: The Matrix"
10004;"Trần Thị D";"Tài chính ngân hàng";"ttd@gmail.com";"1995-08-25";"../src/assets/images/10004.png";"Tích cực và cẩn thận";"Đọc sách: Khoa học viễn tưởng"
10005;"Đỗ Văn E";"Thiết kế đồ họa";"dve@gmail.com";"1993-07-15";"../src/assets/images/10005.png";"Hòa đồng và sáng tạo";"Âm nhạc: Jazz";"Điện ảnh: Inception"
10006;"Nguyễn Thị F";"Y học dự phòng";"ntf@gmail.com";"1991-12-05";"../src/assets/images/10006.png";"Quan tâm và chu đáo";"Thể thao: Yoga, Đạp xe"
10007;"Phạm Văn G";"Khoa học máy tính";"pvg@gmail.com";"1994-02-22";"../src/assets/images/10007.png";"Năng động và vui tính";"Điện ảnh: Star Wars";"Âm nhạc: EDM"
10008;"Lê Thị H";"Luật";"lth@gmail.com";"1990-11-03";"../src/assets/images/10008.png";"Cẩn trọng và nghiêm túc";"Đọc sách: Văn học cổ điển";"Thể thao: Cầu lông"
10009;"Trần Văn I";"Ngôn ngữ Anh";"tvi@gmail.com";"1996-06-12";"../src/assets/images/10009.png";"Thân thiện và sáng tạo";"Du lịch";"Điện ảnh: Marvel"
10010;"Đặng Thị K";"Sinh học";"dtk@gmail.com";"1992-10-30";"../src/assets/images/10010.png";"Thích học hỏi và khám phá";"Nấu ăn";"Âm nhạc: Pop, Country"
